"","mpg","cyl","vs","carb"
"Mazda RX4",21,6,"False",4
"Mazda RX4 Wag",21,6,"False",4
"Datsun 710",22.8,4,"True",1
"Hornet 4 Drive",21.4,6,"True",1
"Hornet Sportabout",18.7,8,"False",2
"Valiant",18.1,6,"True",1
"Duster 360",14.3,8,"False",4
"Merc 240D",24.4,4,"True",2
"Merc 230",22.8,4,"True",2
"Merc 280",19.2,6,"True",4
"Merc 280C",17.8,6,"True",4
"Merc 450SE",16.4,8,"False",3
"Merc 450SL",17.3,8,"False",3
"Merc 450SLC",15.2,8,"False",3
"Cadillac Fleetwood",10.4,8,"False",4
"Lincoln Continental",10.4,8,"False",4
"Chrysler Imperial",14.7,8,"False",4
"Fiat 128",32.4,4,"True",1
"Honda Civic",30.4,4,"True",2
"Toyota Corolla",33.9,4,"True",1
"Toyota Corona",21.5,4,"True",1
"Dodge Challenger",15.5,8,"False",2
"AMC Javelin",15.2,8,"False",2
"Camaro Z28",13.3,8,"False",4
"Pontiac Firebird",19.2,8,"False",2
"Fiat X1-9",27.3,4,"True",1
"Porsche 914-2",26,4,"False",2
"Lotus Europa",30.4,4,"True",2
"Ford Pantera L",15.8,8,"False",4
"Ferrari Dino",19.7,6,"False",6
"Maserati Bora",15,8,"False",8
"Volvo 142E",21.4,4,"True",2
